movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
joy ride,mystery thriller,embarrassing male nudity embarrassing nudity male nudity truck truck driver,paul walker,jessica bowman,dell yount,john dahl,mystery thriller embarrassing male nudity embarrassing nudity male nudity truck truck driver paul walker jessica bowman dell yount john dahl
the adventurer: the curse of the midas box,adventure family fantasy,based on novel drowning hanging from a flagpole hanging from a rope magic,ioan gruffudd,keeley hawes,oliver stark,jonathan newman,adventure family fantasy based on novel drowning hanging from a flagpole hanging from a rope magic ioan gruffudd keeley hawes oliver stark jonathan newman
anywhere but here,comedy drama,family relationships female protagonist nubile woman policeman teenager,natalie portman,eva amurri martino,shawn hatosy,wayne wang,comedy drama family relationships female protagonist nubile woman policeman teenager natalie portman eva amurri martino shawn hatosy wayne wang
chasing liberty,comedy romance,first daughter photographer prague president secret service agent,annabella sciorra,stark sands,terence maynard,andy cadiff,comedy romance first daughter photographer prague president secret service agent annabella sciorra stark sands terence maynard andy cadiff
the crew,comedy crime,beach drug lord drugs hotel stripper,seymour cassel,dan hedaya,lainie kazan,michael dinner,comedy crime beach drug lord drugs hotel stripper seymour cassel dan hedaya lainie kazan michael dinner
haywire,action thriller,die hard scenario one woman army rescue soldier super soldier,channing tatum,michael fassbender,michael angarano,steven soderbergh,action thriller die hard scenario one woman army rescue soldier super soldier channing tatum michael fassbender michael angarano steven soderbergh
jaws: the revenge,adventure horror thriller,banana boat boat christmas sea shark,judith barsi,mario van peebles,lynn whitfield,joseph sargent,adventure horror thriller banana boat boat christmas sea shark judith barsi mario van peebles lynn whitfield joseph sargent
marvin's room,drama,house leukemia mental institution nursing home transplant,leonardo dicaprio,robert de niro,meryl streep,jerry zaks,drama house leukemia mental institution nursing home transplant leonardo dicaprio robert de niro meryl streep jerry zaks
the longshots,biography comedy drama family sport,absent father american football based on true story middle school,tasha smith,dash mihok,garrett morris,fred durst,biography comedy drama family sport absent father american football based on true story middle school tasha smith dash mihok garrett morris fred durst
the end of the affair,drama romance,breasts jealousy obsession sex scene spiritual,stephen rea,ian hart,james bolam,neil jordan,drama romance breasts jealousy obsession sex scene spiritual stephen rea ian hart james bolam neil jordan
harley davidson and the marlboro man,action crime drama thriller western,bar biker cowboy drugs marlboro,vanessa williams,tia carrere,don johnson,simon wincer,action crime drama thriller western bar biker cowboy drugs marlboro vanessa williams tia carrere don johnson simon wincer
in the valley of elah,crime drama mystery thriller,detective iraq military murder investigation police,james franco,charlize theron,barry corbin,paul haggis,crime drama mystery thriller detective iraq military murder investigation police james franco charlize theron barry corbin paul haggis
coco before chanel,biography drama,baron fashion hat nickname orphanage,alessandro nivola,benoît poelvoorde,marie gillain,anne fontaine,biography drama baron fashion hat nickname orphanage alessandro nivola benoît poelvoorde marie gillain anne fontaine
forsaken,drama western,,demi moore,landon liboiron,michael wincott,jon cassar,drama western  demi moore landon liboiron michael wincott jon cassar
chéri,comedy drama romance,age difference courtesan mansion marriage prostitute,tom burke,iben hjejle,gaye brown,stephen frears,comedy drama romance age difference courtesan mansion marriage prostitute tom burke iben hjejle gaye brown stephen frears
rogue,action crime drama thriller,cheating wife extramarital affair female lead undercover unfaithfulness,cole hauser,sarah carter,derek luke,,action crime drama thriller cheating wife extramarital affair female lead undercover unfaithfulness cole hauser sarah carter derek luke 
vanity fair,drama,aristocrat english painter painting singer,romola garai,roger lloyd pack,lillete dubey,mira nair,drama aristocrat english painter painting singer romola garai roger lloyd pack lillete dubey mira nair
bodyguards and assassins,action drama history,giant hong kong hook and chain knife fight martial artist,bingbing fan,simon yam,nicholas tse,teddy chan,action drama history giant hong kong hook and chain knife fight martial artist bingbing fan simon yam nicholas tse teddy chan
1408,fantasy horror,book debunking evil hotel paranormal phenomena,drew powell,kim thomson,alexandra silber,mikael håfström,fantasy horror book debunking evil hotel paranormal phenomena drew powell kim thomson alexandra silber mikael håfström
spaceballs,adventure comedy sci-fi,parody planet enclosed within shield sci fi spoof self referential winnebago,joan rivers,dick van patten,michael winslow,mel brooks,adventure comedy sci-fi parody planet enclosed within shield sci fi spoof self referential winnebago joan rivers dick van patten michael winslow mel brooks
the water diviner,drama war,australian battle battle of gallipoli gallipoli world war one,cem yilmaz,ryan corr,steve bastoni,russell crowe,drama war australian battle battle of gallipoli gallipoli world war one cem yilmaz ryan corr steve bastoni russell crowe
ghost,drama fantasy romance thriller,death film blanc invisibility love unrequited love,demi moore,tony goldwyn,phil leeds,jerry zucker,drama fantasy romance thriller death film blanc invisibility love unrequited love demi moore tony goldwyn phil leeds jerry zucker
there's something about mary,comedy romance,accident curtain call dream girl high school prom,sarah silverman,lin shaye,richard tyson,bobby farrelly,comedy romance accident curtain call dream girl high school prom sarah silverman lin shaye richard tyson bobby farrelly
the santa clause,comedy drama family fantasy,1990s christmas christmas eve sleigh surrealism,judge reinhold,eric lloyd,peter boyle,john pasquin,comedy drama family fantasy 1990s christmas christmas eve sleigh surrealism judge reinhold eric lloyd peter boyle john pasquin
the rookie,drama family sport,baseball coach high school pitching texas,dennis quaid,jay hernandez,angus t. jones,john lee hancock,drama family sport baseball coach high school pitching texas dennis quaid jay hernandez angus t. jones john lee hancock
the game plan,comedy family sport,family relationships football movie publicist sports team tween girl,dwayne johnson,kyra sedgwick,madison pettis,andy fickman,comedy family sport family relationships football movie publicist sports team tween girl dwayne johnson kyra sedgwick madison pettis andy fickman
the bridges of madison county,drama romance,1960s bridge housewife love photographer,clint eastwood,meryl streep,debra monk,clint eastwood,drama romance 1960s bridge housewife love photographer clint eastwood meryl streep debra monk clint eastwood
the animal,comedy sci-fi,camera focus on a female butt cartoon on tv forest hairy buttocks seal the animal,louis lombardi,michael papajohn,colleen haskell,luke greenfield,comedy sci-fi camera focus on a female butt cartoon on tv forest hairy buttocks seal the animal louis lombardi michael papajohn colleen haskell luke greenfield
gandhi,biography drama history,british india indian muslim pakistan,candice bergen,amrish puri,john gielgud,richard attenborough,biography drama history british india indian muslim pakistan candice bergen amrish puri john gielgud richard attenborough
the hundred-foot journey,comedy drama,chef haute cuisine indian cuisine michelin guide restaurant,manish dayal,charlotte le bon,juhi chawla,lasse hallström,comedy drama chef haute cuisine indian cuisine michelin guide restaurant manish dayal charlotte le bon juhi chawla lasse hallström
the net,action crime drama mystery thriller,chat room computer computer hacker identity identity theft,ken howard,jeremy northam,ray mckinnon,irwin winkler,action crime drama mystery thriller chat room computer computer hacker identity identity theft ken howard jeremy northam ray mckinnon irwin winkler
i am sam,drama,child custody custody battle disability mentally impaired man single father,dianne wiest,loretta devine,richard schiff,jessie nelson,drama child custody custody battle disability mentally impaired man single father dianne wiest loretta devine richard schiff jessie nelson
son of god,biography drama history,bare chested male bondage crucifixion loincloth reference to god resurrection,roma downey,amber rose revah,darwin shaw,christopher spencer,biography drama history bare chested male bondage crucifixion loincloth reference to god resurrection roma downey amber rose revah darwin shaw christopher spencer
underworld,action fantasy thriller,blood death hybrid vampire werewolf,sophia myles,kevin grevioux,shane brolly,len wiseman,action fantasy thriller blood death hybrid vampire werewolf sophia myles kevin grevioux shane brolly len wiseman
derailed,drama thriller,drink hotel police staged rape thief,denis o'hare,rza,xzibit,mikael håfström,drama thriller drink hotel police staged rape thief denis o'hare rza xzibit mikael håfström
the informant!,comedy crime drama thriller,compulsive liar fbi informant investigation spy,matt damon,joel mchale,thomas f. wilson,steven soderbergh,comedy crime drama thriller compulsive liar fbi informant investigation spy matt damon joel mchale thomas f. wilson steven soderbergh
shadowlands,biography drama romance,author book england friend oxford,anthony hopkins,james frain,julian fellowes,richard attenborough,biography drama romance author book england friend oxford anthony hopkins james frain julian fellowes richard attenborough
deuce bigalow: european gigolo,comedy,dolphin gigolo pimp serial killer villain arrested,carlos ponce,eddie griffin,charles keating,mike bigelow,comedy dolphin gigolo pimp serial killer villain arrested carlos ponce eddie griffin charles keating mike bigelow
delivery man,comedy drama,children identity lawsuit lawyer sperm donor,jack reynor,bobby moynihan,matthew daddario,ken scott,comedy drama children identity lawsuit lawyer sperm donor jack reynor bobby moynihan matthew daddario ken scott
victor frankenstein,drama horror sci-fi thriller,assistant experiment frankenstein medical student scientist,daniel radcliffe,spencer wilding,daniel mays,paul mcguigan,drama horror sci-fi thriller assistant experiment frankenstein medical student scientist daniel radcliffe spencer wilding daniel mays paul mcguigan
our kind of traitor,thriller,based on novel male frontal nudity male nudity male rear nudity,radivoje bukvic,pawel szajda,grigoriy dobrygin,susanna white,thriller based on novel male frontal nudity male nudity male rear nudity radivoje bukvic pawel szajda grigoriy dobrygin susanna white
saving silverman,comedy crime romance,female nudity friend kidnapping love nun,amanda detmer,neil diamond,kyle gass,dennis dugan,comedy crime romance female nudity friend kidnapping love nun amanda detmer neil diamond kyle gass dennis dugan
diary of a wimpy kid: dog days,comedy family,best friend camping country club no opening credits summer vacation,zachary gordon,rachael harris,karan brar,david bowers,comedy family best friend camping country club no opening credits summer vacation zachary gordon rachael harris karan brar david bowers
summer of sam,crime drama romance thriller,distrust fear murder neighborhood new york city,mira sorvino,jennifer esposito,mike starr,spike lee,crime drama romance thriller distrust fear murder neighborhood new york city mira sorvino jennifer esposito mike starr spike lee
jay and silent bob strike back,comedy,internet jay and silent bob new jersey orangutan police,will ferrell,shannon elizabeth,jason mewes,kevin smith,comedy internet jay and silent bob new jersey orangutan police will ferrell shannon elizabeth jason mewes kevin smith
the island,action adventure romance sci-fi thriller,clone environment escape island lottery,scarlett johansson,steve buscemi,djimon hounsou,michael bay,action adventure romance sci-fi thriller clone environment escape island lottery scarlett johansson steve buscemi djimon hounsou michael bay
the glass house,crime drama mystery thriller,car car accident death friend glass,chris noth,bruce dern,trevor morgan,daniel sackheim,crime drama mystery thriller car car accident death friend glass chris noth bruce dern trevor morgan daniel sackheim
"hail, caesar!",comedy mystery,50s film within a film hollywood illegitimate pregnancy twins,scarlett johansson,channing tatum,alden ehrenreich,ethan coen,comedy mystery 50s film within a film hollywood illegitimate pregnancy twins scarlett johansson channing tatum alden ehrenreich ethan coen
josie and the pussycats,comedy music,based on tv series fictional band girl band music industry pop band,rosario dawson,paulo costanzo,aries spears,harry elfont,comedy music based on tv series fictional band girl band music industry pop band rosario dawson paulo costanzo aries spears harry elfont
homefront,action crime drama thriller,biker biker gang dea dea agent fight,jason statham,james franco,frank grillo,gary fleder,action crime drama thriller biker biker gang dea dea agent fight jason statham james franco frank grillo gary fleder
the little vampire,adventure comedy family fantasy,boy pushed off a cliff rat secret passage vampire,richard e. grant,jim carter,alice krige,uli edel,adventure comedy family fantasy boy pushed off a cliff rat secret passage vampire richard e. grant jim carter alice krige uli edel
i heart huckabees,comedy,coincidence cult film overalls suburb vomiting,naomi watts,lily tomlin,isabelle huppert,david o. russell,comedy coincidence cult film overalls suburb vomiting naomi watts lily tomlin isabelle huppert david o. russell
robocop 3,action crime sci-fi thriller,android corporation ninja police robocop,cch pounder,rip torn,mako,fred dekker,action crime sci-fi thriller android corporation ninja police robocop cch pounder rip torn mako fred dekker
megiddo: the omega code 2,action adventure fantasy sci-fi thriller,armageddon battle end times reference to satan sequel,michael biehn,udo kier,franco nero,brian trenchard-smith,action adventure fantasy sci-fi thriller armageddon battle end times reference to satan sequel michael biehn udo kier franco nero brian trenchard-smith
darling lili,comedy drama musical romance war,crepe suzette french mata hari spoof song spy,rock hudson,vernon dobtcheff,jeremy kemp,blake edwards,comedy drama musical romance war crepe suzette french mata hari spoof song spy rock hudson vernon dobtcheff jeremy kemp blake edwards
dudley do-right,comedy family romance,gold gold rush mirror police officer singer,brendan fraser,alex rocco,eric idle,hugh wilson,comedy family romance gold gold rush mirror police officer singer brendan fraser alex rocco eric idle hugh wilson
the transporter refueled,action crime thriller,airfield car car stunt driver private jet,ed skrein,noémie lenoir,radivoje bukvic,camille delamarre,action crime thriller airfield car car stunt driver private jet ed skrein noémie lenoir radivoje bukvic camille delamarre
the libertine,drama romance,ambassador charles ii earl mistress poet,johnny depp,jack davenport,richard coyle,laurence dunmore,drama romance ambassador charles ii earl mistress poet johnny depp jack davenport richard coyle laurence dunmore
black book,drama thriller war,boat escape hiding nazi resistance,michiel huisman,sebastian koch,christian berkel,paul verhoeven,drama thriller war boat escape hiding nazi resistance michiel huisman sebastian koch christian berkel paul verhoeven
joyeux noel,drama history music romance war,christmas no man's land soldier trench world war one,gary lewis,dany boon,ian richardson,christian carion,drama history music romance war christmas no man's land soldier trench world war one gary lewis dany boon ian richardson christian carion
hit and run,action comedy romance,gay cop getaway driver masturbation penis witness protection,bradley cooper,tom arnold,beau bridges,david palmer,action comedy romance gay cop getaway driver masturbation penis witness protection bradley cooper tom arnold beau bridges david palmer
mad money,comedy crime thriller,bank federal reserve bank money security guard shredder,stephen root,ted danson,roger cross,callie khouri,comedy crime thriller bank federal reserve bank money security guard shredder stephen root ted danson roger cross callie khouri
before i go to sleep,drama mystery thriller,amnesia female nudity infidelity nudity therapist,colin firth,ben crompton,anne-marie duff,rowan joffe,drama mystery thriller amnesia female nudity infidelity nudity therapist colin firth ben crompton anne-marie duff rowan joffe
sorcerer,adventure drama thriller,fire jungle money oil drilling truck,roy scheider,joe spinell,amidou,william friedkin,adventure drama thriller fire jungle money oil drilling truck roy scheider joe spinell amidou william friedkin
stone,drama thriller,arsonist blood splatter on face deception parole parole officer,robert de niro,milla jovovich,frances conroy,john curran,drama thriller arsonist blood splatter on face deception parole parole officer robert de niro milla jovovich frances conroy john curran
molière,comedy history,deathbed play playwright prison theater,romain duris,ludivine sagnier,fabrice luchini,laurent tirard,comedy history deathbed play playwright prison theater romain duris ludivine sagnier fabrice luchini laurent tirard
out of the furnace,crime drama thriller,ambiguous ending brother brother relationship drug dealer fight club revenge,christian bale,sam shepard,dendrie taylor,scott cooper,crime drama thriller ambiguous ending brother brother relationship drug dealer fight club revenge christian bale sam shepard dendrie taylor scott cooper
michael clayton,crime drama mystery thriller,attorney debt fixer law law firm,tom wilkinson,denis o'hare,sydney pollack,tony gilroy,crime drama mystery thriller attorney debt fixer law law firm tom wilkinson denis o'hare sydney pollack tony gilroy
my fellow americans,adventure comedy,gay pride highway travel president road movie u.s. president,wilford brimley,bradley whitford,sela ward,peter segal,adventure comedy gay pride highway travel president road movie u.s. president wilford brimley bradley whitford sela ward peter segal
arlington road,crime drama thriller,death fbi fbi agent neighbor professor,jeff bridges,spencer treat clark,hope davis,mark pellington,crime drama thriller death fbi fbi agent neighbor professor jeff bridges spencer treat clark hope davis mark pellington
underdogs,adventure animation family sport,funfair luna park table football toy comes to life wig,pablo rago,diego ramos,gabriel almirón,juan josé campanella,adventure animation family sport funfair luna park table football toy comes to life wig pablo rago diego ramos gabriel almirón juan josé campanella
to rome with love,comedy romance,architect celebrity prostitute shower tourist,ornella muti,judy davis,alessandra mastronardi,woody allen,comedy romance architect celebrity prostitute shower tourist ornella muti judy davis alessandra mastronardi woody allen
firefox,action adventure thriller,fighter plane jet fighter refueling russia soviet union,clint eastwood,warren clarke,kenneth colley,clint eastwood,action adventure thriller fighter plane jet fighter refueling russia soviet union clint eastwood warren clarke kenneth colley clint eastwood
south park: bigger longer & uncut,animation comedy fantasy musical,boy canada hell misunderstanding refrence to liza minnelli,minnie driver,eric idle,trey parker,trey parker,animation comedy fantasy musical boy canada hell misunderstanding refrence to liza minnelli minnie driver eric idle trey parker trey parker
death at a funeral,comedy,end credits roll call four word title funeral secret uncle,peter dinklage,ewen bremner,kris marshall,frank oz,comedy end credits roll call four word title funeral secret uncle peter dinklage ewen bremner kris marshall frank oz
teenage mutant ninja turtles iii,action adventure comedy family fantasy sci-fi,battle japan magic samurai turtle,paige turco,john aylward,matt hill,stuart gillard,action adventure comedy family fantasy sci-fi battle japan magic samurai turtle paige turco john aylward matt hill stuart gillard
hardball,drama sport,coach gambling housing project little league little league baseball,keanu reeves,d.b. sweeney,dewayne warren,brian robbins,drama sport coach gambling housing project little league little league baseball keanu reeves d.b. sweeney dewayne warren brian robbins
silver linings playbook,comedy drama romance,adulterous wife bipolar disorder obsessive compulsive personality disorder unhappy marriage widow,jennifer lawrence,robert de niro,bradley cooper,david o. russell,comedy drama romance adulterous wife bipolar disorder obsessive compulsive personality disorder unhappy marriage widow jennifer lawrence robert de niro bradley cooper david o. russell
freedom writers,biography crime drama,gang violence high school journal marriage teacher,hunter parrish,scott glenn,imelda staunton,richard lagravenese,biography crime drama gang violence high school journal marriage teacher hunter parrish scott glenn imelda staunton richard lagravenese
for colored girls,drama,african american protagonist female protagonist multi protagonist poem three word title,omari hardwick,loretta devine,kimberly elise,tyler perry,drama african american protagonist female protagonist multi protagonist poem three word title omari hardwick loretta devine kimberly elise tyler perry
the transporter,action crime thriller,bar gunfight human trafficking mixed martial arts tire iron,jason statham,qi shu,matt schulze,louis leterrier,action crime thriller bar gunfight human trafficking mixed martial arts tire iron jason statham qi shu matt schulze louis leterrier
never back down,action drama sport,club fight fighting high school mixed martial arts,djimon hounsou,neil brown jr.,leslie hope,jeff wadlow,action drama sport club fight fighting high school mixed martial arts djimon hounsou neil brown jr. leslie hope jeff wadlow
the rage: carrie 2,horror sci-fi thriller,high school party prom suicide teenage girl,jason london,rachel blanchard,eddie kaye thomas,katt shea,horror sci-fi thriller high school party prom suicide teenage girl jason london rachel blanchard eddie kaye thomas katt shea
the bachelor,game-show reality-tv romance,bachelor seeking love single guy tv host women rivals for man,chris harrison,,,,game-show reality-tv romance bachelor seeking love single guy tv host women rivals for man chris harrison   
away we go,comedy drama romance,baby children friend love road trip,catherine o'hara,jim gaffigan,carmen ejogo,sam mendes,comedy drama romance baby children friend love road trip catherine o'hara jim gaffigan carmen ejogo sam mendes
swing vote,comedy drama,ballot election new mexico vote voting,madeline carroll,judge reinhold,nathan lane,joshua michael stern,comedy drama ballot election new mexico vote voting madeline carroll judge reinhold nathan lane joshua michael stern
moonlight mile,drama romance,1970s death district attorney fiancee watching television,jake gyllenhaal,holly hunter,bob clendenin,brad silberling,drama romance 1970s death district attorney fiancee watching television jake gyllenhaal holly hunter bob clendenin brad silberling
tinker tailor soldier spy,drama mystery thriller,cold war hungary mole spy woman on top,benedict cumberbatch,colin firth,gary oldman,tomas alfredson,drama mystery thriller cold war hungary mole spy woman on top benedict cumberbatch colin firth gary oldman tomas alfredson
molly,comedy drama romance,autism experimental surgery female nudity forename as title regression,elaine hendrix,jill hennessy,sarah wynter,john duigan,comedy drama romance autism experimental surgery female nudity forename as title regression elaine hendrix jill hennessy sarah wynter john duigan
the beaver,drama,beaver puppet depression dysfunctional family puppet speech,jennifer lawrence,cherry jones,riley thomas stewart,jodie foster,drama beaver puppet depression dysfunctional family puppet speech jennifer lawrence cherry jones riley thomas stewart jodie foster
the best little whorehouse in texas,comedy musical,chicken governor locker room sheriff texas,dolly parton,barry corbin,dom deluise,colin higgins,comedy musical chicken governor locker room sheriff texas dolly parton barry corbin dom deluise colin higgins
existenz,horror sci-fi thriller,assassin game game designer pod virtual reality,jennifer jason leigh,sarah polley,callum rennie,david cronenberg,horror sci-fi thriller assassin game game designer pod virtual reality jennifer jason leigh sarah polley callum rennie david cronenberg
raiders of the lost ark,action adventure,archeological dig archeologist ark of the covenant egypt nazi,harrison ford,karen allen,william hootkins,steven spielberg,action adventure archeological dig archeologist ark of the covenant egypt nazi harrison ford karen allen william hootkins steven spielberg
home alone 2: lost in new york,adventure comedy family,airport christmas florida new york city toy store,macaulay culkin,kieran culkin,devin ratray,chris columbus,adventure comedy family airport christmas florida new york city toy store macaulay culkin kieran culkin devin ratray chris columbus
close encounters of the third kind,drama sci-fi,alien close encounter of the third kind mothership ufo vision,bob balaban,teri garr,melinda dillon,steven spielberg,drama sci-fi alien close encounter of the third kind mothership ufo vision bob balaban teri garr melinda dillon steven spielberg
pulse,drama horror sci-fi thriller,cell phone computer computer hacker e mail technology,ian somerhalder,christina milian,rick gonzalez,jim sonzero,drama horror sci-fi thriller cell phone computer computer hacker e mail technology ian somerhalder christina milian rick gonzalez jim sonzero
beverly hills cop ii,action comedy crime thriller,detective police police chief robbery tall woman,dean stockwell,judge reinhold,ronny cox,tony scott,action comedy crime thriller detective police police chief robbery tall woman dean stockwell judge reinhold ronny cox tony scott
bringing down the house,comedy,divorce lawyer spanking villain arrested wrongful conviction,angus t. jones,kimberly j. brown,steve harris,adam shankman,comedy divorce lawyer spanking villain arrested wrongful conviction angus t. jones kimberly j. brown steve harris adam shankman
the silence of the lambs,crime drama horror thriller,case file fbi agent psycho thriller psychopath serial killer,anthony hopkins,scott glenn,anthony heald,jonathan demme,crime drama horror thriller case file fbi agent psycho thriller psychopath serial killer anthony hopkins scott glenn anthony heald jonathan demme
wayne's world,comedy music,basement lead actor's first film long hair public access title directed by female,tia carrere,lara flynn boyle,kurt fuller,penelope spheeris,comedy music basement lead actor's first film long hair public access title directed by female tia carrere lara flynn boyle kurt fuller penelope spheeris
jackass 3d,action comedy documentary,full frontal male nudity man wearing a jock strap man wearing a thong rear male nudity stripped prison uniform,bam margera,steve-o,chris pontius,jeff tremaine,action comedy documentary full frontal male nudity man wearing a jock strap man wearing a thong rear male nudity stripped prison uniform bam margera steve-o chris pontius jeff tremaine
jaws 2,adventure horror thriller,great white shark island mayor police chief shark,roy scheider,murray hamilton,joseph mascolo,jeannot szwarc,adventure horror thriller great white shark island mayor police chief shark roy scheider murray hamilton joseph mascolo jeannot szwarc
beverly hills chihuahua,adventure comedy drama family romance,chihuahua german shepherd mexico potted plant tijuana mexico,jamie lee curtis,nick zano,ali hillis,raja gosnell,adventure comedy drama family romance chihuahua german shepherd mexico potted plant tijuana mexico jamie lee curtis nick zano ali hillis raja gosnell
the conjuring,horror mystery thriller,based on true story farmhouse paranormal investigator rhode island supernatural power,mackenzie foy,lili taylor,hayley mcfarland,james wan,horror mystery thriller based on true story farmhouse paranormal investigator rhode island supernatural power mackenzie foy lili taylor hayley mcfarland james wan
are we there yet?,adventure comedy family romance,car fire children cockroach independent film new year,nia long,tracy morgan,jay mohr,brian levant,adventure comedy family romance car fire children cockroach independent film new year nia long tracy morgan jay mohr brian levant
tammy,comedy,alcoholic grandmother highway travel niagara falls on the road,gary cole,mark duplass,ben falcone,ben falcone,comedy alcoholic grandmother highway travel niagara falls on the road gary cole mark duplass ben falcone ben falcone
disturbia,drama mystery thriller,binoculars electronic tag house arrest neighbor watching someone,sarah roemer,aaron yoo,jose pablo cantillo,d.j. caruso,drama mystery thriller binoculars electronic tag house arrest neighbor watching someone sarah roemer aaron yoo jose pablo cantillo d.j. caruso
school of rock,comedy music,battle of the bands rock band school teacher substitute teacher teacher,miranda cosgrove,sarah silverman,mike white,richard linklater,comedy music battle of the bands rock band school teacher substitute teacher teacher miranda cosgrove sarah silverman mike white richard linklater
mortal kombat,action adventure fantasy sci-fi thriller,based on video game island mortal kombat tournament warrior,christopher lambert,cary-hiroyuki tagawa,bridgette wilson-sampras,paul w.s. anderson,action adventure fantasy sci-fi thriller based on video game island mortal kombat tournament warrior christopher lambert cary-hiroyuki tagawa bridgette wilson-sampras paul w.s. anderson
wicker park,drama mystery romance thriller,flashback flashback within a flashback multiple perspectives obsession split screen,jessica paré,christopher cousins,mark camacho,paul mcguigan,drama mystery romance thriller flashback flashback within a flashback multiple perspectives obsession split screen jessica paré christopher cousins mark camacho paul mcguigan
white chicks,comedy crime,african american crossdresser fbi undercover vomiting,busy philipps,jaime king,brittany daniel,keenen ivory wayans,comedy crime african american crossdresser fbi undercover vomiting busy philipps jaime king brittany daniel keenen ivory wayans
the descendants,comedy drama,boating accident daughters father daughter relationship hospital marriage,shailene woodley,nick krause,beau bridges,alexander payne,comedy drama boating accident daughters father daughter relationship hospital marriage shailene woodley nick krause beau bridges alexander payne
holes,adventure comedy drama family mystery,bad luck camp curse digging hole,tim blake nelson,zane holtz,ski carr,andrew davis,adventure comedy drama family mystery bad luck camp curse digging hole tim blake nelson zane holtz ski carr andrew davis
the last song,drama family music romance,beach fire love pianist summer,kelly preston,bobby coleman,melissa ordway,julie anne robinson,drama family music romance beach fire love pianist summer kelly preston bobby coleman melissa ordway julie anne robinson
12 years a slave,biography drama history,racism separation from family social injustice torture whipping,quvenzhané wallis,scoot mcnairy,taran killam,steve mcqueen,biography drama history racism separation from family social injustice torture whipping quvenzhané wallis scoot mcnairy taran killam steve mcqueen
drumline,comedy drama music romance,drumline drummer fish out of water marching band university,leonard roberts,nick cannon,jason weaver,charles stone iii,comedy drama music romance drumline drummer fish out of water marching band university leonard roberts nick cannon jason weaver charles stone iii
why did i get married too?,comedy drama romance,question mark in title returning character killed off sequel six word title writer director,michael jai white,cicely tyson,tasha smith,tyler perry,comedy drama romance question mark in title returning character killed off sequel six word title writer director michael jai white cicely tyson tasha smith tyler perry
edward scissorhands,fantasy romance,creation inventor magical realism scissors suburb,johnny depp,dianne wiest,conchata ferrell,tim burton,fantasy romance creation inventor magical realism scissors suburb johnny depp dianne wiest conchata ferrell tim burton
me before you,drama romance,accident caretaker economic hardship quadriplegic wheelchair,sam claflin,emilia clarke,brendan coyle,thea sharrock,drama romance accident caretaker economic hardship quadriplegic wheelchair sam claflin emilia clarke brendan coyle thea sharrock
madea's witness protection,comedy crime drama,critically bashed culture shock interracial relationship madea series ponzi scheme,john amos,tom arnold,romeo miller,tyler perry,comedy crime drama critically bashed culture shock interracial relationship madea series ponzi scheme john amos tom arnold romeo miller tyler perry
the french connection,action crime drama thriller,crime boss drug smuggling heroin mafia boss organized crime,roy scheider,fernando rey,tony lo bianco,william friedkin,action crime drama thriller crime boss drug smuggling heroin mafia boss organized crime roy scheider fernando rey tony lo bianco william friedkin
bad moms,comedy,lesbian kiss mom pta reference to mad max scene during end credits,mila kunis,jay hernandez,jada pinkett smith,jon lucas,comedy lesbian kiss mom pta reference to mad max scene during end credits mila kunis jay hernandez jada pinkett smith jon lucas
date movie,comedy romance,female protagonist greek overweight spoof wedding planner,alyson hannigan,carmen electra,fred willard,aaron seltzer,comedy romance female protagonist greek overweight spoof wedding planner alyson hannigan carmen electra fred willard aaron seltzer
return to never land,adventure animation family fantasy,1940s gang that lives together outlaw gang rescue sequel,roger rees,rob paulsen,spencer breslin,robin budd,adventure animation family fantasy 1940s gang that lives together outlaw gang rescue sequel roger rees rob paulsen spencer breslin robin budd
selma,biography drama history,civil rights courage protest selma alabama u.s. politics,david oyelowo,tom wilkinson,oprah winfrey,ava duvernay,biography drama history civil rights courage protest selma alabama u.s. politics david oyelowo tom wilkinson oprah winfrey ava duvernay
the jungle book 2,adventure animation family musical,dog jungle shot gun tiger village,haley joel osment,phil collins,tony jay,steve trenbirth,adventure animation family musical dog jungle shot gun tiger village haley joel osment phil collins tony jay steve trenbirth
boogeyman,drama horror mystery thriller,boogeyman childhood fear hometown uncle,barry watson,skye mccole bartusiak,charles mesure,stephen kay,drama horror mystery thriller boogeyman childhood fear hometown uncle barry watson skye mccole bartusiak charles mesure stephen kay
premonition,drama mystery thriller,car car accident housewife sheriff suburb,nia long,amber valletta,marc macaulay,mennan yapo,drama mystery thriller car car accident housewife sheriff suburb nia long amber valletta marc macaulay mennan yapo
the tigger movie,animation comedy drama family musical,cartoon tiger coming of age tiger tigger title directed by female,kath soucie,john fiedler,ken sansom,jun falkenstein,animation comedy drama family musical cartoon tiger coming of age tiger tigger title directed by female kath soucie john fiedler ken sansom jun falkenstein
orphan,horror mystery thriller,alcoholism girl little girl orphan troubled marriage,jimmy bennett,cch pounder,aryana engineer,jaume collet-serra,horror mystery thriller alcoholism girl little girl orphan troubled marriage jimmy bennett cch pounder aryana engineer jaume collet-serra
max,adventure family,afghanistan death of marine dog dog adoption man dog relationship,jay hernandez,joseph julian soria,edgar arreola,boaz yakin,adventure family afghanistan death of marine dog dog adoption man dog relationship jay hernandez joseph julian soria edgar arreola boaz yakin
